# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan 11 04:18:35 2023
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_kepmag
2606,9995402,K02832.01,Kepler-1361 b,CONFIRMED,CANDIDATE,0.9910,0.4620,0.0050,-0.4470,0.89,2.100e-01,-1.300e-01,1061.0,,,13.930
2607,9109857,K02833.01,,CANDIDATE,CANDIDATE,0.9610,0.4030,0.0480,-0.4030,1.48,2.300e-01,-4.100e-01,2223.0,,,12.599
2608,5609593,K02834.01,Kepler-1362 b,CONFIRMED,CANDIDATE,1.0000,0.4900,0.0640,-0.4170,2.35,2.200e-01,-1.700e-01,248.0,,,15.839
2609,5436338,K02835.01,Kepler-1880 b,CONFIRMED,CANDIDATE,0.9970,0.1180,0.3380,-0.1180,1.37,1.000e-01,-1.200e-01,606.0,,,15.906
2610,11414465,K02836.01,Kepler-1363 b,CONFIRMED,CANDIDATE,1.0000,0.0300,0.4130,-0.0300,1.22,1.000e-01,-1.200e-01,988.0,,,15.290
2611,6716545,K02906.02,,CANDIDATE,CANDIDATE,0.8040,0.3250,0.1420,-0.3250,1.80,3.300e-01,-3.000e-01,424.0,,,13.716
2612,2708885,K02907.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0.4050,0.0550,-0.4040,1.39,3.000e-01,-1.400e-01,1554.0,,,15.754
2613,6612284,K02908.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.5280,0.1260,-0.5280,1.48,4.400e-01,-1.500e-01,1704.0,,,15.895
2614,10586004,K00275.02,Kepler-129 c,CONFIRMED,CANDIDATE,0.8030,0.0010,0.3850,-0.0010,2.57,1.300e-01,-1.800e-01,525.0,,,11.696
2615,4483138,K02910.01,Kepler-1384 b,CONFIRMED,CANDIDATE,0.8870,0.2500,0.2060,-0.2500,1.80,2.000e-01,-2.100e-01,608.0,,,15.384
2616,9475552,K02694.01,Kepler-1315 b,CONFIRMED,CANDIDATE,1.0000,0.6960,0.0520,-0.4990,1.70,1.700e-01,-1.800e-01,1541.0,,,14.975
2617,9475552,K02694.02,Kepler-1315 c,CONFIRMED,CANDIDATE,1.0000,0.6870,0.2170,-0.4650,1.83,1.800e-01,-1.900e-01,777.0,,,14.975
2618,8292840,K00260.01,Kepler-126 b,CONFIRMED,CANDIDATE,1.0000,0.1600,0.2730,-0.1600,1.34,8.000e-02,-5.000e-02,1009.0,,,10.500
2619,5196864,K02695.01,,CANDIDATE,CANDIDATE,1.0000,1.1780,46.4100,-0.2480,20.23,2.700e+00,-2.430e+00,1147.0,,,15.601
2620,11071200,K02696.01,,CANDIDATE,CANDIDATE,0.9960,0.7750,0.1140,-0.5260,9.10,1.630e+00,-3.030e+00,727.0,,,12.998
2621,11071200,K02696.02,,CANDIDATE,CANDIDATE,0.9920,0.8510,0.0420,-0.5770,5.80,1.040e+00,-1.930e+00,940.0,,,12.998
2622,10905911,K02754.01,Kepler-1339 b,CONFIRMED,CANDIDATE,0.8440,0.2590,0.1960,-0.2590,0.74,1.100e-01,-6.000e-02,1642.0,,,12.299
2623,3545135,K02755.01,Kepler-1689 b,CONFIRMED,CANDIDATE,0.9950,0.5640,0.3620,-0.3540,0.80,1.100e-01,-6.000e-02,879.0,,,12.147
2624,6964929,K02756.01,Kepler-1340 b,CONFIRMED,CANDIDATE,0.9410,0.4480,0.0150,-0.4480,1.11,1.800e-01,-8.000e-02,2174.0,,,14.758
2625,6432345,K02757.01,Kepler-1690 b,CONFIRMED,CANDIDATE,0.9980,0.0250,0.4050,-0.0250,2.56,2.500e-01,-1.900e-01,267.0,,,14.607
2626,8703129,K02758.01,,CANDIDATE,CANDIDATE,0.9770,0.0280,0.3100,-0.0280,19.25,4.980e+00,-1.163e+01,555.0,,,11.893
2627,11565924,K02837.01,Kepler-1364 b,CONFIRMED,CANDIDATE,1.0000,0.7840,0.1610,-0.5320,2.88,5.800e-01,-8.100e-01,1299.0,,,13.228
2628,6607357,K02838.01,Kepler-1365 b,CONFIRMED,CANDIDATE,0.9960,0.0180,0.4360,-0.0180,0.92,1.400e-01,-1.400e-01,969.0,,,13.421
2629,6607357,K02838.02,Kepler-1365 c,CONFIRMED,CANDIDATE,0.9360,0.0300,0.4330,-0.0300,0.81,1.200e-01,-1.200e-01,1137.0,,,13.421
2630,9451706,K00271.02,Kepler-127 c,CONFIRMED,CANDIDATE,1.0000,0.5120,0.3560,-0.3020,2.50,7.000e-02,-5.000e-02,698.0,,,11.485
2631,6186964,K02839.01,Kepler-1366 b,CONFIRMED,CANDIDATE,1.0000,0.3380,0.1010,-0.3380,1.27,7.000e-02,-6.000e-02,783.0,,,15.877
2632,5471202,K02911.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.9670,0.0420,-0.0560,2.75,7.700e-01,-3.100e-01,830.0,,,14.865
2633,9640439,K02912.01,,FALSE POSITIVE,FALSE POSITIVE,0.0520,0.1400,0.3240,-0.1400,1.68,5.900e-01,-1.900e-01,2152.0,,,15.153
2634,9693006,K02913.01,Kepler-1385 b,CONFIRMED,CANDIDATE,0.9970,0.2420,0.2160,-0.2420,0.84,1.600e-01,-1.400e-01,1423.0,,,12.858
2635,6837283,K02914.01,,CANDIDATE,CANDIDATE,0.9880,0.6750,0.2530,-0.4520,2.89,5.400e-01,-1.020e+00,1110.0,,,12.199
2636,5613821,K02915.01,,CANDIDATE,CANDIDATE,0.9990,0.9440,0.0060,-0.6430,0.98,1.300e-01,-6.000e-02,998.0,,,13.346
2637,6627507,K02697.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1390,18.5600,-0.0880,87.08,1.387e+01,-3.005e+01,1654.0,,,12.904
2638,5128673,K02698.01,Kepler-1316 b,CONFIRMED,CANDIDATE,0.9500,0.0150,0.3700,-0.0150,3.39,5.200e-01,-5.200e-01,446.0,,,14.000
2639,6690836,K02699.01,Kepler-1317 b,CONFIRMED,CANDIDATE,1.0000,0.0500,0.3990,-0.0500,1.49,2.400e-01,-1.100e-01,1796.0,,,15.230
2640,8639908,K02700.01,,CANDIDATE,CANDIDATE,1.0000,0.7900,0.0170,-0.5560,1.12,1.100e-01,-1.100e-01,1127.0,,,15.381
2641,5481148,K02701.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.9340,0.0100,-0.7030,4.79,1.480e+00,-4.900e-01,639.0,,,14.818
2642,11076400,K02759.01,,CANDIDATE,CANDIDATE,1.0000,0.2870,0.1550,-0.2870,1.01,3.000e-02,-7.000e-02,1417.0,,,14.288
2643,7877978,K02760.01,Kepler-1874 b,CONFIRMED,CANDIDATE,1.0000,0.9420,0.0240,-0.6670,2.69,8.000e-02,-1.500e-01,356.0,,,14.889
2644,7903086,K02761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.4800,0.0430,-0.4530,2.23,6.200e-01,-1.600e-01,1337.0,,,15.881
2645,12024120,K00265.01,Kepler-507 b,CONFIRMED,CANDIDATE,0.9990,0.5310,0.0260,-0.4260,1.36,2.300e-01,-2.300e-01,1407.0,,,11.994
2646,8210018,K02762.01,Kepler-1341 b,CONFIRMED,CANDIDATE,1.0000,0.7030,0.1970,-0.4880,2.51,2.100e-01,-2.100e-01,241.0,,,15.028
2647,3642289,K00301.01,Kepler-135 b,CONFIRMED,CANDIDATE,1.0000,0.9140,0.0950,-0.6910,2.33,3.800e-01,-2.900e-01,1209.0,,,12.730
2648,3642289,K00301.02,Kepler-135 c,CONFIRMED,CANDIDATE,1.0000,0.8240,0.1410,-0.5940,1.32,2.200e-01,-1.600e-01,975.0,,,12.730
2649,3662838,K00302.01,Kepler-516 b,CONFIRMED,CANDIDATE,1.0000,0.7460,0.0090,-0.5370,7.61,1.380e+00,-2.560e+00,1095.0,,,12.059
2650,5966322,K00303.01,Kepler-517 b,CONFIRMED,CANDIDATE,0.9950,0.0090,0.4120,-0.0090,2.78,3.900e-01,-3.800e-01,467.0,,,12.193
2651,6029239,K00304.01,Kepler-518 b,CONFIRMED,CANDIDATE,1.0000,0.0050,0.4090,-0.0050,2.14,3.000e-01,-1.100e-01,839.0,,,12.549
2652,12106929,K00359.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.9760,0.0120,-0.0060,1.84,3.200e-01,-1.000e-01,894.0,,,13.799
2653,12107021,K00360.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7480,0.2060,-0.7480,1.47,2.000e-01,-1.000e-01,1059.0,,,13.021
2654,8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1900,11.2400,-0.0790,24.87,8.040e+00,-3.450e+00,1750.0,,,12.179
2655,12404954,K00361.01,Kepler-537 b,CONFIRMED,CANDIDATE,1.0000,0.3100,0.1430,-0.3100,1.41,2.000e-01,-7.000e-02,1181.0,,,13.100
2656,1571511,K00362.01,,FALSE POSITIVE,FALSE POSITIVE,0.0040,0.1890,0.0130,-0.0170,14.93,4.590e+00,-1.980e+00,810.0,,,13.424
2657,2438070,K00363.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2170,0.9890,-0.1520,38.29,9.810e+00,-1.308e+01,1587.0,,,13.771
2658,3747262,K03005.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7320,0.0600,-0.5090,1.65,3.000e-01,-5.700e-01,2824.0,,,12.524
2659,10190075,K03007.01,,CANDIDATE,CANDIDATE,0.9460,0.8950,0.0770,-0.6540,1.47,2.000e-01,-1.000e-01,782.0,,,14.528
2660,9070666,K03008.01,Kepler-1408 b,CONFIRMED,CANDIDATE,0.6030,0.4030,0.0920,-0.3740,1.12,2.000e-01,-3.000e-01,1616.0,,,12.003
2661,3642335,K03010.01,Kepler-1410 b,CONFIRMED,CANDIDATE,0.9960,0.0040,0.4630,-0.0040,1.39,7.000e-02,-1.000e-01,244.0,,,15.757
2662,3328052,K03011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7550,0.1790,-0.5150,1.66,5.400e-01,-1.800e-01,1521.0,,,15.542
2663,10749059,K03086.01,,CANDIDATE,CANDIDATE,0.9940,0.0210,0.4280,-0.0210,3.00,1.700e-01,-3.000e-01,287.0,,,15.707
2664,9119568,K03087.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.0950,0.3630,-0.0950,0.68,5.000e-02,-5.000e-02,882.0,,,12.837
2665,9119568,K03087.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.0040,0.4620,-0.0040,0.46,4.000e-02,-3.000e-02,1461.0,,,12.837
2666,9020114,K03088.01,Kepler-1901 b,CONFIRMED,CANDIDATE,1.0000,0.1060,0.3570,-0.1060,1.16,1.700e-01,-5.000e-02,1132.0,,,14.953
2667,6196457,K00285.01,Kepler-92 b,CONFIRMED,CANDIDATE,1.0000,0.6580,0.1530,-0.4330,3.63,2.600e-01,-1.800e-01,975.0,,,11.565
2668,7668416,K03089.01,,CANDIDATE,CANDIDATE,1.0000,0.2410,0.2450,-0.2410,0.88,1.500e-01,-1.000e-01,1671.0,,,15.247
2669,6029239,K00304.02,,CANDIDATE,CANDIDATE,0.7860,0.2430,0.2220,-0.2430,0.46,6.000e-02,-2.000e-02,969.0,,,12.549
2670,6063220,K00305.01,Kepler-99 b,CONFIRMED,CANDIDATE,1.0000,0.2460,0.1890,-0.2460,1.51,8.000e-02,-6.000e-02,810.0,,,12.970
2671,6071903,K00306.01,Kepler-519 b,CONFIRMED,CANDIDATE,1.0000,0.4250,0.0580,-0.4010,2.14,2.100e-01,-9.000e-02,532.0,,,12.630
2672,6289257,K00307.01,Kepler-520 b,CONFIRMED,CANDIDATE,1.0000,0.9140,0.0230,-0.6710,1.78,2.900e-01,-1.500e-01,711.0,,,12.797
2673,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1.0000,0.0260,0.2050,-0.0260,5.64,8.300e-01,-1.350e+00,1445.0,,,13.770
2674,11623629,K00365.01,Kepler-538 b,CONFIRMED,CANDIDATE,0.7550,0.0200,0.3470,-0.0200,2.16,2.500e-01,-1.500e-01,385.0,,,11.195
2675,3545478,K00366.01,,CANDIDATE,CANDIDATE,0.9530,0.8380,0.0050,-0.0070,23.23,2.460e+00,-5.740e+00,777.0,,,11.714
2676,4815520,K00367.01,Kepler-1656 b,CONFIRMED,CANDIDATE,0.9980,0.0400,0.2590,-0.0400,4.52,6.800e-01,-3.600e-01,570.0,,,11.105
2677,6603043,K00368.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7150,0.0010,-0.0020,18.60,7.250e+00,-4.450e+00,761.0,,,11.375
2678,7175184,K00369.01,Kepler-144 b,CONFIRMED,CANDIDATE,1.0000,0.6220,0.3030,-0.4010,1.59,2.900e-01,-3.100e-01,1253.0,,,11.992
2679,7109851,K03012.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.5240,0.0130,-0.4560,1.69,3.300e-01,-5.900e-01,2539.0,,,12.988
2680,11565544,K03013.01,,CANDIDATE,CANDIDATE,0.9980,1.1930,63.7300,-0.0620,19.39,5.210e+00,-1.730e+00,1084.0,,,14.698
2681,7347246,K03014.01,Kepler-1411 b,CONFIRMED,CANDIDATE,0.9410,0.0160,0.4240,-0.0160,3.11,1.060e+00,-3.500e-01,441.0,,,15.831
2682,11403530,K03015.01,Kepler-1412 b,CONFIRMED,CANDIDATE,0.9390,0.0260,0.4310,-0.0260,0.90,1.500e-01,-1.900e-01,1397.0,,,13.219
2683,5088536,K00282.02,Kepler-130 b,CONFIRMED,CANDIDATE,0.9990,0.4940,0.0440,-0.4230,1.02,5.000e-02,-4.000e-02,982.0,,,11.529
2684,12072872,K03017.01,,CANDIDATE,CANDIDATE,0.9800,0.2560,0.1980,-0.2560,0.67,1.800e-01,-1.200e-01,1391.0,,,13.308
2685,6609270,K03090.01,Kepler-1902 b,CONFIRMED,CANDIDATE,0.6140,0.7250,0.2150,-0.5130,1.05,6.000e-02,-7.000e-02,601.0,,,15.665
2686,12406807,K03091.01,Kepler-1903 b,CONFIRMED,CANDIDATE,0.9290,0.1060,0.3260,-0.1060,1.62,5.300e-01,-1.700e-01,769.0,,,15.372
2687,8046689,K03092.01,,FALSE POSITIVE,FALSE POSITIVE,0.0030,0.1630,0.3000,-0.1630,1.91,5.900e-01,-2.600e-01,1212.0,,,15.451
2688,5096590,K03093.01,Kepler-1424 b,CONFIRMED,CANDIDATE,0.9960,0.9840,0.0190,-0.6870,1.74,2.600e-01,-2.400e-01,629.0,,,13.619
2689,9650989,K03095.01,Kepler-1905 b,CONFIRMED,CANDIDATE,1.0000,0.2130,0.2430,-0.2130,1.25,2.000e-01,-8.000e-02,1212.0,,,15.067
2690,6289257,K00307.02,Kepler-520 c,CONFIRMED,CANDIDATE,1.0000,0.8330,0.1020,-0.6250,1.18,1.900e-01,-1.000e-01,1107.0,,,12.797
2691,6291837,K00308.01,Kepler-1715 b,CONFIRMED,CANDIDATE,1.0000,0.8950,0.0350,-0.6120,3.72,6.400e-01,-4.300e-01,646.0,,,12.351
2692,7024222,K00309.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0.3500,0.0780,-0.3500,0.53,3.000e-02,-5.000e-02,1083.0,,,12.843
2693,7024511,K00311.01,,FALSE POSITIVE,FALSE POSITIVE,,0.8526,0.0749,-0.5930,3.33,3.500e-01,-3.100e-01,315.0,,,12.655
2694,7050989,K00312.01,Kepler-136 b,CONFIRMED,CANDIDATE,1.0000,0.3590,0.0910,-0.3590,2.06,3.600e-01,-2.700e-01,951.0,,,12.459
2695,7175184,K00369.02,Kepler-144 c,CONFIRMED,CANDIDATE,1.0000,0.5710,0.3640,-0.3540,1.59,2.900e-01,-3.200e-01,1046.0,,,11.992
2696,8494142,K00370.01,Kepler-145 c,CONFIRMED,CANDIDATE,0.9990,0.3910,0.0340,-0.3780,3.61,2.500e-01,-1.600e-01,709.0,,,11.931
2697,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.9990,0.5380,0.0460,-0.4340,5.73,7.800e-01,-3.300e-01,791.0,,,11.582
2698,8494142,K00370.02,Kepler-145 b,CONFIRMED,CANDIDATE,0.9890,0.7480,0.1620,-0.5390,2.17,1.500e-01,-1.000e-01,873.0,,,11.931
2699,5652983,K00371.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.9590,0.3330,-0.0240,17.14,6.900e-01,-1.590e+00,339.0,,,12.193
2700,6471021,K00372.01,Kepler-539 b,CONFIRMED,CANDIDATE,0.0060,0.4710,0.0840,-0.2610,10.02,1.470e+00,-1.330e+00,388.0,,,12.391
2701,7906671,K03018.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.9700,0.0020,-0.6790,2.78,8.100e-01,-5.400e-01,517.0,,,14.720
2702,8709688,K03019.01,Kepler-1893 b,CONFIRMED,CANDIDATE,0.9630,0.3170,0.1440,-0.3170,1.52,2.400e-01,-2.300e-01,1194.0,,,14.927
2703,8241079,K03020.01,,CANDIDATE,CANDIDATE,1.0000,0.4340,0.0200,-0.4340,1.90,2.400e-01,-4.400e-01,1107.0,,,13.534
2704,3348285,K03021.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.4470,0.5280,-0.2480,0.78,2.300e-01,-8.000e-02,2129.0,,,13.700
2705,11618601,K03022.01,Kepler-1894 b,CONFIRMED,CANDIDATE,0.8280,0.4600,0.5040,-0.2640,1.25,3.800e-01,-1.200e-01,1231.0,,,15.400
2706,7582689,K03097.01,Kepler-431 d,CONFIRMED,CANDIDATE,0.9830,0.9290,0.0400,-0.6640,0.87,1.500e-01,-6.000e-02,851.0,,,11.973
2707,7582689,K03097.02,Kepler-431 b,CONFIRMED,CANDIDATE,0.9820,0.8890,0.0720,-0.6850,0.73,1.200e-01,-5.000e-02,1026.0,,,11.973
2708,7582689,K03097.03,Kepler-431 c,CONFIRMED,CANDIDATE,1.0000,0.8860,0.0770,-0.6150,0.72,1.100e-01,-5.000e-02,945.0,,,11.973
2709,9959589,K03098.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1740,0.4500,-0.1130,19.88,6.170e+00,-2.050e+00,1703.0,,,15.787
2710,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.9140,0.0100,-0.0110,8.02,0.000e+00,0.000e+00,811.0,,,13.290
2711,6196457,K00285.02,Kepler-92 c,CONFIRMED,CANDIDATE,0.9760,0.0350,0.3740,-0.0350,2.31,1.700e-01,-1.100e-01,781.0,,,11.565
2712,7050989,K00312.02,Kepler-136 c,CONFIRMED,CANDIDATE,0.9980,0.1150,0.3350,-0.1150,1.94,3.400e-01,-2.600e-01,847.0,,,12.459
2713,7419318,K00313.01,Kepler-137 c,CONFIRMED,CANDIDATE,1.0000,0.7850,0.0590,-0.5440,2.10,1.400e-01,-1.200e-01,568.0,,,12.990
2714,7419318,K00313.02,Kepler-137 b,CONFIRMED,CANDIDATE,1.0000,0.5100,0.0270,-0.4150,1.50,1.000e-01,-8.000e-02,742.0,,,12.990
2715,7603200,K00314.01,Kepler-138 c,CONFIRMED,CANDIDATE,1.0000,0.5450,0.0800,-0.4060,1.42,9.000e-02,-1.300e-01,402.0,,,12.925
2716,7603200,K00314.02,Kepler-138 d,CONFIRMED,CANDIDATE,1.0000,0.3200,0.1000,-0.3200,1.24,8.000e-02,-1.200e-01,338.0,,,12.925
2717,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,0.9170,0.3790,0.0880,-0.3790,1.18,1.700e-01,-2.900e-01,1204.0,,,13.770
2718,7364176,K00373.01,Kepler-1718 b,CONFIRMED,CANDIDATE,1.0000,0.0230,0.3340,-0.0230,2.32,3.100e-01,-2.000e-01,345.0,,,12.765
2719,8686097,K00374.01,Kepler-540 b,CONFIRMED,CANDIDATE,0.9920,0.0040,0.3830,-0.0040,2.85,4.500e-01,-4.400e-01,355.0,,,12.209
2720,12356617,K00375.01,Kepler-1704 b,CONFIRMED,CANDIDATE,,0.1667,0.1675,-0.1667,10.81,2.660e+00,-2.050e+00,223.0,,,13.293
2721,12643589,K00376.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.9020,69.6400,-1.2420,121.48,3.943e+01,-1.318e+01,624.0,,,13.754
2722,12643589,K00376.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.8530,0.0390,-0.6140,2.99,9.700e-01,-3.300e-01,1966.0,,,13.754
2723,3323887,K00377.01,Kepler-9 b,CONFIRMED,CANDIDATE,0.0000,0.1690,0.0590,-0.1690,7.74,1.200e+00,-4.200e-01,661.0,,,13.803
2724,11618601,K03022.02,,CANDIDATE,CANDIDATE,0.9720,0.5300,0.4280,-0.3140,1.21,3.700e-01,-1.100e-01,1007.0,,,15.400
2725,7732285,K03023.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0.3890,0.0630,-0.3890,2.07,6.100e-01,-8.100e-01,1637.0,,,13.330
2726,9716391,K03025.01,Kepler-1413 b,CONFIRMED,CANDIDATE,0.9580,0.0160,0.4370,-0.0160,1.84,3.600e-01,-1.500e-01,661.0,,,16.239
2727,6929841,K03026.01,Kepler-1414 b,CONFIRMED,CANDIDATE,0.9980,0.0610,0.4060,-0.0610,1.35,4.100e-01,-1.600e-01,1033.0,,,14.897
2728,5088536,K00282.03,Kepler-130 d,CONFIRMED,CANDIDATE,0.8940,0.9830,0.0290,-0.7350,1.85,8.000e-02,-7.000e-02,451.0,,,11.529
2729,5124254,K03099.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.5690,0.3720,-0.3600,1.45,7.000e-02,-1.300e-01,480.0,,,15.648
2730,11508644,K03101.01,Kepler-1426 b,CONFIRMED,CANDIDATE,0.9980,0.8940,0.0630,-0.6040,1.73,5.800e-01,-1.900e-01,797.0,,,15.192
2731,12168993,K03105.01,,CANDIDATE,CANDIDATE,0.9990,0.9700,0.0060,-0.7150,1.04,1.100e-01,-1.100e-01,887.0,,,15.277
2732,8895758,K03106.01,Kepler-1427 b,CONFIRMED,CANDIDATE,0.8770,0.0650,0.3920,-0.0650,1.08,3.500e-01,-1.100e-01,1844.0,,,15.415
2733,10031500,K03107.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1380,15.2400,-0.2690,15.95,4.220e+00,-2.460e+00,891.0,,,15.214
2734,7603200,K00314.03,Kepler-138 b,CONFIRMED,CANDIDATE,0.9990,0.0610,0.3650,-0.0610,0.59,4.000e-02,-6.000e-02,443.0,,,12.925
2735,7700622,K00315.01,Kepler-1716 b,CONFIRMED,CANDIDATE,1.0000,0.0010,0.4160,-0.0010,2.03,1.200e-01,-9.000e-02,408.0,,,12.968
2736,8008067,K00316.01,Kepler-139 b,CONFIRMED,CANDIDATE,1.0000,0.0090,0.3600,-0.0090,2.62,4.000e-01,-3.100e-01,752.0,,,12.701
2737,8008067,K00316.02,Kepler-139 c,CONFIRMED,CANDIDATE,1.0000,0.0040,0.4150,-0.0040,2.63,4.100e-01,-3.200e-01,350.0,,,12.701
2738,8008067,K00316.03,,CANDIDATE,CANDIDATE,1.0000,0.8260,0.0690,-0.5750,2.11,3.300e-01,-2.500e-01,972.0,,,12.701
2739,3323887,K00377.02,Kepler-9 c,CONFIRMED,CANDIDATE,,0.6883,0.0228,-0.0290,7.98,1.530e+00,-4.200e-01,523.0,,,13.803
2740,7051180,K00064.01,,CANDIDATE,CANDIDATE,1.0000,0.9250,0.0290,-0.7210,10.35,7.700e-01,-1.250e+00,2005.0,,,13.143
2741,3323887,K00377.03,Kepler-9 d,CONFIRMED,CANDIDATE,,0.0779,0.3702,-0.0779,1.48,2.900e-01,-7.000e-02,1517.0,,,13.803
2742,2449074,K00378.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1570,12.7200,-0.1550,32.92,8.400e+00,-1.261e+01,1419.0,,,13.150
2743,2446113,K00379.01,,FALSE POSITIVE,FALSE POSITIVE,0.0730,0.1630,0.3110,-0.1630,2.78,5.000e-01,-6.000e-01,1264.0,,,13.319
2744,2446113,K00379.02,,CANDIDATE,CANDIDATE,1.0000,0.4290,0.0270,-0.4290,1.83,3.200e-01,-4.000e-01,837.0,,,13.319
2745,11137180,K03027.01,Kepler-1895 b,CONFIRMED,CANDIDATE,0.9290,0.4540,0.0130,-0.4540,1.36,1.700e-01,-9.000e-02,789.0,,,15.489
2746,9838804,K03028.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.4630,0.0310,-0.4380,1.06,2.600e-01,-8.000e-02,1461.0,,,15.983
2747,5903749,K03029.01,,CANDIDATE,CANDIDATE,1.0000,0.9220,0.0410,-0.7170,2.24,2.700e-01,-2.800e-01,638.0,,,14.948
2748,5903749,K03029.02,,CANDIDATE,CANDIDATE,0.9850,0.7390,0.2270,-0.5170,1.35,1.600e-01,-1.600e-01,919.0,,,14.948
2749,5524881,K03030.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.5930,0.3540,-0.3800,1.67,5.500e-01,-1.900e-01,1037.0,,,15.614
2750,3756264,K03108.01,Kepler-1906 b,CONFIRMED,CANDIDATE,1.0000,0.2530,0.1980,-0.2530,1.86,4.900e-01,-1.600e-01,901.0,,,14.941
2751,11572193,K03109.01,Kepler-1428 b,CONFIRMED,CANDIDATE,0.9890,0.4030,0.0420,-0.4030,1.79,3.300e-01,-1.400e-01,1049.0,,,13.688
2752,11285870,K03110.01,Kepler-1429 b,CONFIRMED,CANDIDATE,0.9720,0.3000,0.1430,-0.3000,1.23,4.100e-01,-1.300e-01,1199.0,,,14.879
2753,8581240,K03111.01,,CANDIDATE,CANDIDATE,1.0000,0.5830,0.3560,-0.3930,0.92,1.300e-01,-1.200e-01,885.0,,,12.863
2754,8581240,K03111.02,,CANDIDATE,CANDIDATE,0.9860,0.3670,0.0840,-0.3670,0.66,1.000e-01,-9.000e-02,1199.0,,,12.863
2755,6196457,K00285.03,Kepler-92 d,CONFIRMED,CANDIDATE,0.4760,0.2770,0.1890,-0.2770,1.91,1.300e-01,-1.000e-01,637.0,,,11.565
2756,8121310,K00317.01,Kepler-521 b,CONFIRMED,CANDIDATE,0.9990,0.0170,0.3080,-0.0170,3.02,5.300e-01,-2.800e-01,803.0,,,12.885
2757,8156120,K00318.01,Kepler-522 b,CONFIRMED,CANDIDATE,0.9870,0.9050,0.0320,-0.0720,8.56,1.570e+00,-1.920e+00,761.0,,,12.211
2758,8684730,K00319.01,,CANDIDATE,CANDIDATE,0.9980,0.9040,0.0030,-0.0040,10.02,7.300e-01,-4.000e-01,703.0,,,12.711
2759,8700558,K00320.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2090,7.6660,-0.1030,26.26,6.000e+00,-3.000e+00,1249.0,,,12.174
